facility_id,facility_name,sitrep,version,report_date,text_source,event,event_date,beds,status_note,evidence_quote,confidence,facility_raw
cte-mongbwalu,CTE Mongbwalu,5,1,2026-05-19,pdf_text,operating,,,Three facility staff briefed on standard precautions,Briefing de 3 prestataires de CTE Mongwalu sur les précautions standard,high,CTE Mongwalu
cte-beni,CTE Beni,6,1,2026-05-20,pdf_text,planned,,,Recommendation to make the Beni transit and treatment centres operational through rehabilitation,"Rendre opérationnel les CT et CTE de Beni, Butembo et Goma (réhabilitation et révision du circuit)",high,CTE de Beni
cte-beni,CTE Beni,7,1,2026-05-21,ocr_mupdf,planned,,,Recommendation to make the Beni transit and treatment centres operational through rehabilitation,"Rendre opérationnel les CT et CTE de Beni, Butembo et Goma",high,CTE de Beni
cte-beni,CTE Beni,8,1,2026-05-22,ocr_mupdf,planned,,,Recommendation to make the Beni transit and treatment centres operational through rehabilitation,"Rendre opérationnel les CT et CTE de Beni, Butembo et Goma",high,CTE de Beni
ct-bunia,CT Bunia,9,1,2026-05-23,ocr_mupdf,under_construction,,,Joint IPC and case management supervision of the Bunia transit centre to define the patient circuit,Supervision conjointe PCI- PEC du CT Bunia pour la définition du circuit,low,CT Bunia
ct-rwampara,CT Rwampara,10,1,2026-05-24,ocr_mupdf,incident,,,Fire at the Rwampara transit centre listed among security problems,"Incendie de CT de Rwampara, Mongbwalu",high,CT de Rwampara
cte-bunia,CTE Bunia (HGR),10,1,2026-05-24,ocr_mupdf,under_construction,,,Construction of the CTE at HGR Bunia started by partner IMC,Démarrage des travaux de construction du CTE à l'HGR Bunia par le partenaire IMC,high,CTE à l'HGR Bunia
cte-rwampara,CTE Rwampara (HGR),10,1,2026-05-24,ocr_mupdf,under_construction,,,Fitting-out works continue at the facility,Poursuite des travaux d'aménagement du CTE Rwampara,high,CTE Rwampara
cte-bunia,CTE Bunia (HGR),12,1,2026-05-26,ocr_mupdf,under_construction,,,Construction of the CTE at HGR Bunia started with IMC support,Début de travaux de construction du CTE à l'HGR Bunia avec l’appui de l'IMC,high,CTE à l'HGR Bunia
cte-bunia,CTE Bunia (HGR),12,2,2026-05-26,pdf_text,under_construction,,,Construction of the CTE at HGR Bunia started with IMC support,Début de travaux de construction du CTE à l’HGR Bunia avec l’appui de l’IMC,high,CTE à l’HGR Bunia
cte-cme-bunia,CTE CME Bunia,12,2,2026-05-26,pdf_text,under_construction,,,Fitting-out of the facility continues,Poursuite de l’aménagement du CTE CME Bunia,high,CTE CME
ct-heal-africa,CT HEAL Africa,13,1,2026-05-27,pdf_text,mention_only,,,Named in a garbled table header,HGR BUNIA CME CT HEAL,low,CT HEAL
ct-rwampara,CT Rwampara,13,1,2026-05-27,pdf_text,incident,,,Fire at the Rwampara transit centre listed among security problems,"Incendie de CT de Rwampara, Mongbwalu",high,CT de Rwampara
cte-bunia,CTE Bunia (HGR),13,1,2026-05-27,pdf_text,under_construction,,,Construction works on the CTE at HGR Bunia being followed up,Suivi de l’évolution des travaux de construction du CTE à l’HGR BUNIA,high,CTE à l’HGR BUNIA
cte-bunia,CTE Bunia (HGR),14,1,2026-05-28,ocr_mupdf,under_construction,,,Construction works on the CTE at HGR Bunia being followed up,"#. 4, CTE à l'HGR BUNIA ;",low,CTE à l'HGR BUNIA
cte-bunia,CTE Bunia (HGR),15,1,2026-05-29,pdf_text,under_construction,,,Construction works on the Bunia CTE being followed up,"Suivi des travaux de construction des CTE de Bunia, du CME et de Rwampara",high,CTE de Bunia
cte-bunia,CTE Bunia (HGR),16,1,2026-05-30,pdf_text,operating,,,One of two deaths occurred at the facility,Deux (2) décès (CTE Bunia et HGR Rwampara),high,CTE Bunia
cte-bunia,CTE Bunia (HGR),16,1,2026-05-30,pdf_text,under_construction,,,Construction works on the CTE at HGR Bunia being followed up,"Suivi des travaux de construction du CTE à l’HGR Bunia, au CME Bunia",high,CTE à l’HGR Bunia
cte-bunia,CTE Bunia (HGR),17,1,2026-05-31,pdf_text,operating,,,One of two additional deaths occurred at the facility,Deux (2) décès supplémentaires (CTE Bunia et HGR Rwampara),high,CTE Bunia
cte-cme-bunia,CTE CME Bunia,17,1,2026-05-31,pdf_text,opened,,,"Official inauguration of the standard CTE at CME Rwampara, newly rehabilitated and handed over by the WHO Director-General",Inauguration officielle du Centre de Traitement Ebola (CTE) normé de CME Rwampara,high,
cte-lwiro,CTE Lwiro,18,1,2026-06-01,pdf_text,operating,,,Five patients under care at the facility; one admission and two non-case discharges,file active de 5 patients au CTE Lwiro,high,CTE Lwiro
cte-katwa,CTE Katwa (HGR),20,1,2026-06-03,pdf_text,under_construction,,,Rehabilitation of the facility continues in an action-plan table,Poursuite réhabilitation Multi-pilier J+3 CTE Katwa,low,CTE Katwa
cte-lwiro,CTE Lwiro,20,1,2026-06-03,pdf_text,operating,,,One confirmed case escaped from the facility,1 cas confirmé évadé du CTE LWIRO,high,CTE LWIRO
cte-nyankunde,CTE Nyankunde (HGR),22,1,2026-06-05,pdf_text,operating,,,Community sensitisation began in support of patient reception and isolation at the facility,l’accueil et isolement des malades au CTE Nyankunde,high,CTE Nyankunde
cte-katwa,CTE Katwa (HGR),23,1,2026-06-06,pdf_text,under_construction,,,Rehabilitation works on the CTE at HGR Katwa being followed up,Suivi des travaux de réhabilitation du CTE à l’HGR Katwa,high,CTE à l’HGR Katwa
cte-bunia,CTE Bunia (HGR),24,1,2026-06-07,pdf_text,opened,,,"Medical case management activities launched at the two CTEs, HGR Bunia run by IMC",Lancement des activités de 2 CTE (HGR Bunia par IMC et HGR Rwampara par Alima),high,
cte-cme-bunia,CTE CME Bunia,24,1,2026-06-07,pdf_text,mention_only,,,Visited by the ALIMA director general with INSP leadership,Visite des CTE CME et Rwampara par le DG d’Alima,high,CTE CME
cte-katwa,CTE Katwa (HGR),24,1,2026-06-07,pdf_text,operating,,,Training of 45 facility health workers completed,clôture de la formation de 45 prestataires de santé du CTE de Katwa,high,CTE de Katwa
cte-katwa,CTE Katwa (HGR),24,1,2026-06-07,pdf_text,under_construction,,,Rehabilitation works on the CTE at HGR Katwa being followed up,Suivi des travaux de réhabilitation du CTE à l’HGR Katwa,high,CTE à l’HGR Katwa
cte-rwampara,CTE Rwampara (HGR),24,1,2026-06-07,pdf_text,opened,,,"Medical case management activities launched at the two CTEs, HGR Rwampara run by ALIMA",Lancement des activités de 2 CTE (HGR Bunia par IMC et HGR Rwampara par Alima),high,
cte-cme-bunia,CTE CME Bunia,25,1,2026-06-08,pdf_text,operating,,,Three new recoveries at the facility in Rwampara health zone; five orphanage children declared non-cases there,3 nouveaux guéris au CTE CME de la ZS de Rwampara,high,CTE CME
cte-cme-bunia,CTE CME Bunia,27,1,2026-06-10,pdf_text,operating,,,Death of a 10-month-old who tested positive at the facility,testée positive au CTE CME,high,CTE CME
cte-cme-bunia,CTE CME Bunia,27,1,2026-06-10,pdf_text,expanded,,,Creche at the facility being finalised,Finalisation de la crèche CTE CME Rwampara,high,CTE CME
cte-elikya,CTE Elikya,27,1,2026-06-10,pdf_text,operating,,,Discharge ceremony for two recovered patients,cérémonies de deux (2) patients guéris au CTE Elikya (ZS Bunia),high,CTE Elikya
cte-rwampara,CTE Rwampara (HGR),27,1,2026-06-10,pdf_text,operating,,,Death of a confirmed child under five at the facility,Décès d'un enfant de moins de 5 ans confirmés au CTE Rwampara,high,CTE Rwampara
cte-cme-bunia,CTE CME Bunia,28,1,2026-06-11,pdf_text,mention_only,,,Materials delivered to the facility,Livraison des matériels CTE/CME-Bunia,high,CTE/CME-Bunia
cte-rwampara,CTE Rwampara (HGR),28,1,2026-06-11,pdf_text,operating,,,Cardiac monitor and pulse oximeter received,Réception d’un moniteur cardiaque et Oxymètre de pools au CTE Rwampara,high,CTE Rwampara
cte-cme-bunia,CTE CME Bunia,30,1,2026-06-13,pdf_text,expanded,,,Works being finalised; 8 installed tents to be operational by Monday 15 June 2026,"Finalisation des travaux du CTE/CME-BUNIA, 8 tentes installées seront opérationnelles",high,CTE/CME-BUNIA
cte-cme-bunia,CTE CME Bunia,31,1,2026-06-14,pdf_text,operating,,,Six patients admitted to the facility were supported,appui à l’orientation de 6 patients admis au CTE CME Nyankunde,high,CTE CME
cte-rwampara,CTE Rwampara (HGR),31,1,2026-06-14,pdf_text,mention_only,,,Guided visit for social media influencers,Mongbwalu au CTE Rwampara,high,CTE Rwampara
