source,doc_id,report_date,publisher,licence,url,facility_raw,site_kind,name_status,place_raw,health_zone,province,event,beds,status_note,evidence_quote,confidence,facility_id,match_kind
who_don,2026-DON602,2026-05-16,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,Abelkozo Health Centre,other,named,"","","",mention_only,"",An infection prevention and control assessment is ongoing at this health facility.,"IPC assessment in key health facilities is ongoing: Bunia Hospital Centre of the Evangelical Medical Centre (CME), Mongbwalu General Referral Hospital and Abelkozo Health Centre.",high,,unmatched
who_don,2026-DON602,2026-05-16,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,Mongbwalu General Referral Hospital,hospital_isolation,named,Mongbwalu,Mongbwalu,Ituri,operating,"",Four healthcare workers were infected and died within a four-day span at this hospital.,the infection and death of four healthcare workers within a four-day span at Mongbwalu General Referral Hospital underscores critical breaches in IPC protocols.,high,hosp-hgr-mongbwalu,id
who_don,2026-DON602,2026-05-16,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,medical centre,hospital_isolation,unnamed,Bunia,Bunia,Ituri,operating,"","A suspected case, a health worker, died at this facility.",The case died at a medical centre in Bunia.,high,,place_only
who_don,2026-DON602,2026-05-16,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,private hospital,hospital_isolation,unnamed,Kampala,"","",operating,"",An imported case of Bundibugyo virus from DRC was admitted to this hospital and later died.,The case is an elderly man who was admitted to a private hospital on 11 May with severe symptoms and died on 14 May.,high,,unmatched
who_don,2026-DON603,2026-05-21,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON603,High-Level isolation unit,isolation_centre,unnamed,"Berlin, Germany","","",operating,"",A confirmed case is currently undergoing treatment there after being evacuated.,"The case is currently at a High-Level isolation unit in Berlin, Germany undergoing treatment.",high,,unmatched
who_don,2026-DON603,2026-05-21,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON603,Mongbwalu General Referral Hospital,hospital_isolation,named,"","","",operating,"",Four healthcare workers were infected and died at this hospital.,the infection and death of four healthcare workers within a four-day span at Mongbwalu General Referral Hospital,high,hosp-hgr-mongbwalu,id
who_don,2026-DON603,2026-05-21,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON603,Mulago Isolation Treatment Unit,treatment_centre,named,"","","",operating,"",The second imported case in Uganda is currently admitted there.,The case is currently admitted in Uganda at the Mulago Isolation Treatment Unit.,high,,unmatched
who_don,2026-DON603,2026-05-21,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON603,private hospital,hospital_isolation,unnamed,"","","",operating,"",The first imported case in Uganda was admitted there and later died.,The first case was admitted to a private hospital on 11 May and died on 14 May.,high,,unmatched
who_don,2026-DON612,2026-07-03,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON612,designated high-containment healthcare facility,hospital_isolation,unnamed,"","","",operating,"",A confirmed Ebola patient returning from the Democratic Republic of the Congo was immediately isolated and referred to this facility.,prompting immediate isolation and referral to a designated high-containment healthcare facility.,high,,unmatched
who_don,2026-DON613,2026-07-17,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON613,healthcare facility,hospital_isolation,unnamed,"","","",operating,"",A patient recovered and was discharged from the healthcare facility.,The imported confirmed BVD case reported on 24 June recovered and was discharged from the healthcare facility on 4 July after two negative PCR test results.,high,,unmatched
who_don,2026-DON613,2026-07-17,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON613,treatment centre,treatment_centre,unnamed,"","","",operating,"",A patient was discharged from the treatment centre after testing negative.,The most recent case was discharged from the treatment centre on 16 July after two negative tests results.,high,,place_only
who_don,2026-DON613,2026-07-17,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON613,university hospital,hospital_isolation,unnamed,Frankfurt/Main,"","",operating,"",A patient was medically evacuated to the university hospital.,"was medically evacuated to a university hospital in Frankfurt/Main, Germany.",high,,unmatched
who_don,2026-DON614,2026-08-01,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON614,treatment centre,treatment_centre,unnamed,"","","",operating,"",An imported case was discharged from the treatment centre following two negative test results.,The most recent imported case was discharged from a treatment centre on 16 July after two negative tests results.,high,,place_only
who_don,2026-DON615,2026-08-14,World Health Organization,CC BY-NC-SA 3.0 IGO,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON615,treatment centre,treatment_centre,unnamed,"","","",operating,"",An imported case was discharged from the treatment centre.,In Uganda the most recent imported case was discharged from a treatment centre on 16 July,high,,place_only
