decision_id,rank,cluster,site_kind,verdict,facility_ids,merged_into,decided_by,decided_on,note,open_question
site-hgr-bunia__transit,1,site-hgr-bunia,transit_centre,unsure,ct-bunia;ct-hgr-bunia,"",kathsherratt,2026-09-22,"",""
site-hgr-bunia__treatment,1,site-hgr-bunia,treatment_centre,apart,cte-bunia;cte-cme-bunia;cte-hgr-bunia,"",kathsherratt,2026-09-22,"",""
ct-rwampara__isolation,2,ct-rwampara,isolation_centre,same,ci-hgr-rwampara;ci-rwampara,ci-rwampara,kathsherratt,2026-09-22,"",""
ct-rwampara__treatment,2,ct-rwampara,treatment_centre,apart,cte-cme-rwampara;cte-hgr-rwampara;cte-rwampara,"",kathsherratt,2026-09-22,"",""
site-hgr-nyankunde__treatment__spelling-istm,3,site-hgr-nyankunde,treatment_centre,same,cte-ist-nyankunde;cte-istm-nyakunde;cte-istm-nyankunde,cte-istm-nyankunde,claude-code,2026-09-22,"One host, the ISTM at Nyankunde, written CTE IST Nyankunde, ISTM/Nyakunde and CTE ISTM Nyankunde.",""
site-hgr-nyankunde__treatment__spelling-place,3,site-hgr-nyankunde,treatment_centre,same,cte-nyakunde;cte-nyankunde,cte-nyankunde,claude-code,2026-09-22,"One letter apart, and GRID3 spells the health zone Nyankunde.",""
site-hgr-nyankunde__treatment,3,site-hgr-nyankunde,treatment_centre,apart,cte-cme-nyankunde;cte-hgr-nyankunde;cte-istm-nyankunde;cte-nyankunde,"",kathsherratt,2026-09-22,"Four hosts at Nyankunde: the town centre, the HGR, the CME and the ISTM. Reports name more than one in a sentence.",""
cte-nizi__treatment,4,cte-nizi,treatment_centre,apart,cte-hgr-nizi;cte-nizi,"",kathsherratt,2026-09-22,"",""
cte-mongwalu__treatment__spelling,5,cte-mongwalu,treatment_centre,same,cte-mongbwalu;cte-mongwalu,cte-mongbwalu,claude-code,2026-09-22,"One letter apart, and GRID3 spells the health zone Mongbwalu. CTE Mongwalu appears once.",""
cte-mongwalu__treatment,5,cte-mongwalu,treatment_centre,apart,cte-hgr-mongbwalu;cte-mongbwalu,"",kathsherratt,2026-09-22,The CTE at Mongbwalu and the CTE at its reference hospital are separate structures.,""
cte-katwa__treatment,6,cte-katwa,treatment_centre,unsure,cte-hgr-katwa;cte-katwa,"",kathsherratt,2026-09-22,"",""
site-che-beni__transit,8,site-che-beni,transit_centre,same,ct-beni;ct-hgr-beni,ct-beni,kathsherratt,2026-09-22,"",""
site-che-beni__treatment,8,site-che-beni,treatment_centre,same,cte-beni;cte-hgr-beni,cte-beni,kathsherratt,2026-09-22,"",""
site-hgr-isiro__treatment,9,site-hgr-isiro,treatment_centre,same,cte-hgr-isiro;cte-isiro,cte-isiro,kathsherratt,2026-09-22,"",""
cte-elykia__treatment,10,cte-elykia,treatment_centre,same,cte-elikya;cte-elykia,cte-elikya,kathsherratt,2026-09-22,"",""
cte-musienene__transit,12,cte-musienene,transit_centre,same,ct-hgr-musienene;ct-musienene,ct-hgr-musienene,kathsherratt,2026-09-22,"",""
cte-kitatumba__treatment,14,cte-kitatumba,treatment_centre,unsure,cte-butembo;cte-kitatumba,"",kathsherratt,2026-09-22,"",""
site-hsr-matanda__treatment,16,site-hsr-matanda,treatment_centre,same,cte-hopital-matanda;cte-matanda,cte-matanda,kathsherratt,2026-09-22,"",""
cte-nia-nia__transit,17,cte-nia-nia,transit_centre,same,ct-hgr-nia-nia;ct-nia-nia,ct-hgr-nia-nia,kathsherratt,2026-09-22,"",""
site-hgr-aru__treatment,18,site-hgr-aru,treatment_centre,same,cte-aru;cte-hgr-aru,cte-aru,kathsherratt,2026-09-22,"",""
cte-oicha__transit,28,cte-oicha,transit_centre,same,ct-hgr-oicha;ct-oicha,ct-oicha,kathsherratt,2026-09-22,"",""
ci-isolements-madula__isolation,30,ci-isolements-madula,isolation_centre,same,ci-isolement-madula;ci-isolements-madula,ci-isolement-madula,kathsherratt,2026-09-22,"",""
ci-kongakonga__isolation,38,ci-kongakonga,isolation_centre,same,ci-konga-konga;ci-kongakonga,ci-konga-konga,kathsherratt,2026-09-22,"",""
